upstream_part,up_part_rev,downstream_part,down_part_rev,upstream_output_port,downstream_input_port,start_date,stop_date
FEA39,A,C7F39,A,e,ea,2014-10-01 07:00:00+00:00,
FEA39,A,C7F39,A,n,na,2014-10-01 07:00:00+00:00,
FEA3,A,C7F3,A,e,ea,2014-10-01 07:00:00+00:00,
FEA3,A,C7F3,A,n,na,2014-10-01 07:00:00+00:00,
FEA40,A,C7F40,A,e,ea,2014-10-01 07:00:00+00:00,
FEA40,A,C7F40,A,n,na,2014-10-01 07:00:00+00:00,
FEA41,A,C7F41,A,e,ea,2014-10-01 07:00:00+00:00,
FEA41,A,C7F41,A,n,na,2014-10-01 07:00:00+00:00,
FEA42,A,C7F42,A,e,ea,2014-10-01 07:00:00+00:00,
FEA42,A,C7F42,A,n,na,2014-10-01 07:00:00+00:00,
FEA43,A,C7F43,A,e,ea,2014-10-01 07:00:00+00:00,
FEA43,A,C7F43,A,n,na,2014-10-01 07:00:00+00:00,
FEA44,A,C7F44,A,e,ea,2014-10-01 07:00:00+00:00,
FEA44,A,C7F44,A,n,na,2014-10-01 07:00:00+00:00,
FEA45,A,C7F45,A,e,ea,2014-10-01 07:00:00+00:00,
FEA45,A,C7F45,A,n,na,2014-10-01 07:00:00+00:00,
FEA46,A,C7F46,A,e,ea,2014-10-01 07:00:00+00:00,
FEA46,A,C7F46,A,n,na,2014-10-01 07:00:00+00:00,
FEA47,A,C7F47,A,e,ea,2014-10-01 07:00:00+00:00,
FEA47,A,C7F47,A,n,na,2014-10-01 07:00:00+00:00,
FEA48,A,C7F48,A,e,ea,2014-10-01 07:00:00+00:00,
FEA48,A,C7F48,A,n,na,2014-10-01 07:00:00+00:00,
FEA49,A,C7F49,A,e,ea,2014-10-01 07:00:00+00:00,
FEA49,A,C7F49,A,n,na,2014-10-01 07:00:00+00:00,
FEA4,A,C7F4,A,e,ea,2014-10-01 07:00:00+00:00,
FEA4,A,C7F4,A,n,na,2014-10-01 07:00:00+00:00,
FEA50,A,C7F50,A,e,ea,2014-10-01 07:00:00+00:00,
FEA50,A,C7F50,A,n,na,2014-10-01 07:00:00+00:00,
FEA51,A,C7F51,A,e,ea,2014-10-01 07:00:00+00:00,
FEA51,A,C7F51,A,n,na,2014-10-01 07:00:00+00:00,
FEA52,A,C7F52,A,e,ea,2014-10-01 07:00:00+00:00,
FEA52,A,C7F52,A,n,na,2014-10-01 07:00:00+00:00,
FEA53,A,C7F53,A,e,ea,2014-10-01 07:00:00+00:00,
FEA53,A,C7F53,A,n,na,2014-10-01 07:00:00+00:00,
FEA54,A,C7F54,A,e,ea,2014-10-01 07:00:00+00:00,
FEA54,A,C7F54,A,n,na,2014-10-01 07:00:00+00:00,
